words,sentiment_coeff
observando,-1.0319127455737007
aumento,0.9894348444595894
contaminados,0.9875439450540392
devido,0.9909181798726366
grande,-0.9690011537669617
ideia,-1.0272204566658423
última_semana,1.000211840283554
rodízio,-0.9897899653126065
arthur,-1.0496519483427402
fez,-0.9966640547681639
apelo,1.0007446908478002
"população,",-0.9635309748552797
mantidos,1.0258109542513378
cuidados,0.9889210203187355
preventivos,1.1295967019871143
respeito,-1.014256258033509
isolamen…,1.0177196318792463
cura,-1.0291214439738505
tanto,-1.0249380136686703
quanto,-1.009266436219116
r,1.0219917930216507
cooper,1.1093230545721375
sb,1.0237825647442242
investimentos,1.0325811638483073
longo,0.9717138290527852
prazo,1.0064056073125842
parabéns,-1.0167088619849678
posicionamento,-1.0240042131970297
👏👏👏,-1.073132545636942
"2,7",1.0186608265100396
mil_mortes,0.9884402424114591
testes,1.0136153442500495
clínicos,1.0291941681593828
fase,0.9583274802902095
vacinas,-0.9889255830974948
"julho,",1.0103813700559103
funcionário…,1.0134527912882456
concelho,1.0781616797236095
maia,1.0240842472143417
volta,-0.9602260428798848
infeção,1.0396744859028813
#atualização,1.065048901691298
#boletim,1.1170297832713394
#dgs,1.115750233921681
#infeções,1.207691530060368
"""se",-1.017769044926069
25,0.9877679253701512
"anos,",0.9795119415748804
saudável,-1.0160425811767373
99%,0.9894780200042382
probabilidade,-0.9938173651299972
leve,-1.0187438062053924
bem,-1.0048222486116647
tocantins,1.0393838814099312
decreta_lockdown,-0.9916231915002567
reabrir,-0.955600240245338
comércio,-0.9548144871014917
#tocantins,1.08523716908256
confira,1.0283193555548604
artigo,1.0040073851449225
destaque,1.0560403796521884
exercício,0.9979686321188695
físico,-1.0114835921944565
distância,-0.9912745693240502
série,0.9926346015355195
#quarantine,1.1070637292921939
dilemas,1.1218275037220855
alternativas,1.0792024861074399
tempos,-1.0155976433494436
via,1.0138755820216923
@diariope,-1.007631688873541
#lockdown,-0.9907362887810397
#pernambuco,1.0989424894204682
todos_dias,-1.0091702897779324
mudam,1.0363779913007718
@tvi24pt,-1.0469084440976166
@agenciabrasil,1.0812172260160102
aonde,-1.0543552122213866
politico,-1.0590412037219348
@dataprev,1.121632194178711
@caixa,1.0017031776924437
oliveira,1.0723624880951481
projeções,1.0111348058029896
pib,0.967091940290153
brasileiro,-0.9981585845837985
"indica,",-1.0093619741531223
queda,0.989607954518121
desde,-0.9633728655650905
1…,0.9992098521954937
futuro,-1.0051709426497015
leonardo,-1.0144984689743166
associação,1.0562772644845226
europeia,1.0532410779605839
fornecedores,1.1551262942158205
sector,1.0768280434864694
automóvel,1.0470322187636667
estudo,0.9941580175598997
avaliar,1.0185918652299368
impacto,1.0123668279282436
pandemia…,0.984525822166432
coisa,-1.0424493799208285
podem,0.9678133672923053
negar,-0.9998341275523711
carnaval,-0.9999479519521255
#saopaulo,1.0503931293398034
#oms,1.048213048668892
#jairbolsonaro…,1.0526489616477968
seguidores,-1.0019711187219615
bolsonaro,-1.0083093301726995
radicais,1.0223146319014436
"alma,",-1.0807827287550817
respeitam,-1.0043830397625881
dor,-1.0241243565890445
outro,-1.0258653900315302
#impeachmentbolsonaro…,-1.1159391380782073
escroto,-1.0603587550388691
"privada,",1.0484131343317165
dar,-1.0105369185465656
descarga,-1.0700728886711695
esperamos,-1.065315994477069
bosta,-1.0670221363251706
descer,-1.0598429620812557
dois,0.9620768440180004
#cloroquina,-1.019472894363343
impede,-1.0255485590067395
contudo,-1.0822119213170942
droga,-1.0212526789386347
rede,0.9960190771715844
upas,1.042203679623248
dedicada,1.0487802931007137
totalmente,-1.0162490954072605
"vicente,",1.0811429917588822
nova,0.9822160297521363
es…,-0.976754600060994
comunidade,1.0307554512294066
intermunicipal,1.128175946505089
região,0.9924906687744706
coimbra,1.0944639892252652
registou,1.0208817126284744
segundafeira,1.0350401670871638
novos_casos,1.0209972707412787
cov…,0.9534821797421941
oportunidade,-1.0208463233904115
treinar,0.9840933995707462
básicos,1.0088721530121454
segurança,0.9983715137904752
informação…,1.1138925176536376
traz,1.0325443982491909
convicção,-1.050792143276628
buscar,-0.9841092066266133
fazer,-1.0138465069358602
crescer,0.9812407509473775
questão,-1.0346022673033186
vírus,-0.9932023261746219
transmitir,-1.0229766704049668
através,1.0132430243980013
superfícies,1.0716990826546346
objetos,1.042788435635134
terapia,1.0261892332915201
inicia,1.0401992653409347
junho,0.9851770384653564
setembro,-0.9572684530215777
leia,1.0155082148676455
+,-0.9759030515311535
portal,1.0620147767959724
alguém,-1.0280371276548665
considerado,-0.9919518258313397
curado,-1.0198318213017066
critérios,1.0459245216103565
avaliações,1.0770034004906004
envolvidos,1.0228567029942808
recup…,1.0162126834717196
escolha,-1.0187175126642212
vantagem,-1.0407247307307208
enviar,-1.0215440916556426
#mercadofinanceiro,1.0650830076293323
#economizar,1.1628636326762785
projeto,1.0092321950796928
mapeia,1.0518631955272013
iniciativas,1.0499683237758135
economia,-0.963013642324161
solidária,1.0295721248868979
"iniciativa,",1.032376967279716
reúne,1.046933037539894
da…,0.9962892646033812
vez,-0.9944476953365388
cão,-1.0520854437359886
qd,-1.0140922989239818
ia,-1.0179469044237837
passear,-1.0256236654196895
"fica,",-1.096766484861951
anda,-1.0302165234307776
volume,0.988706470174472
clientes,1.0137894526663227
zonas,1.0876648454879563
chega,0.9792318111376721
20%,0.9995817926858139
cigana,1.0895226470721444
barcelos,1.1159567207968497
positivos,1.0064706346183891
#barcelos,1.1020439438481275
clínica,1.0065921208665283
"médica,",1.0128226953773134
todos,-0.987449920311023
falam,-1.0197069339145293
evitem,1.092657319565603
aí,-1.0261428982003604
médicos,0.990783477531644
enfermeiras,-1.0444078405257418
usam,-0.9966926028357287
menino,-1.0545777987278337
12,0.9942144573610951
cria,1.006097697241864
ferramenta,1.051213894063535
#goodnews,1.1129280781454594
oficial,1.014451390201898
recuperaram,1.02642515606689
últimas_24,1.011939117000537
horas,0.9866399213057131
bbc_news,1.0034042070296145
in,1.0357466611636879
brazil's,1.0792297825796635
calor,-1.003010740897713
europa,-0.9751872006264416
primavera,1.054427675752377
testam,1.0580273711686392
novas,1.0160133591810518
países,0.9680564937920545
gradualmente,1.0724865026039714
restrições…,1.1000490525440683
caso,-0.9714392628900311
positivo,-0.9947089369464889
adia,1.0571844254027738
creche,1.0156936106346852
cruz,1.0287478004037502
vermelha,0.9768399983616296
#creches,1.1452321263846308
conta,-0.9713318036707668
"#coronavírus,",0.9873602330248442
